,image_name,subject_id,dbscan_count,dbscan_noise,dbscan_silouette_score,dbscan_BIC_score,eps,min_samples
10,ESCG01_159.jpg,72373072,1,10,,,0.1,8
11,ESCG01_159.jpg,72373072,1,13,,,0.1,10
12,ESCG01_159.jpg,72373072,2,4,0.7701505026661675,,0.2,3
13,ESCG01_159.jpg,72373072,1,7,,,0.2,5
14,ESCG01_159.jpg,72373072,1,7,,,0.2,8
15,ESCG01_159.jpg,72373072,1,7,,,0.2,10
16,ESCG01_159.jpg,72373072,2,4,0.7701505026661675,,0.3,3
17,ESCG01_159.jpg,72373072,1,7,,,0.3,5
18,ESCG01_159.jpg,72373072,1,7,,,0.3,8
19,ESCG01_159.jpg,72373072,1,7,,,0.3,10
20,ESCG01_159.jpg,72373072,2,3,0.8273819603309309,,0.4,3
21,ESCG01_159.jpg,72373072,1,6,,,0.4,5
22,ESCG01_159.jpg,72373072,1,6,,,0.4,8
23,ESCG01_159.jpg,72373072,1,6,,,0.4,10
24,ESCG01_159.jpg,72373072,2,3,0.8273819603309309,,0.5,3
25,ESCG01_159.jpg,72373072,1,6,,,0.5,5
26,ESCG01_159.jpg,72373072,1,6,,,0.5,8
27,ESCG01_159.jpg,72373072,1,6,,,0.5,10
0,ESCG01_162.jpg,72373077,0,10,,,0.01,3
1,ESCG01_162.jpg,72373077,0,10,,,0.01,5
2,ESCG01_162.jpg,72373077,0,10,,,0.01,8
3,ESCG01_162.jpg,72373077,0,10,,,0.01,10
4,ESCG01_162.jpg,72373077,1,7,,,0.05,3
5,ESCG01_162.jpg,72373077,0,10,,,0.05,5
6,ESCG01_162.jpg,72373077,0,10,,,0.05,8
7,ESCG01_162.jpg,72373077,0,10,,,0.05,10
8,ESCG01_162.jpg,72373077,3,0,0.7706288928362289,,0.1,3
9,ESCG01_162.jpg,72373077,0,10,,,0.1,5
10,ESCG01_162.jpg,72373077,0,10,,,0.1,8
11,ESCG01_162.jpg,72373077,0,10,,,0.1,10
12,ESCG01_162.jpg,72373077,2,0,0.9564091693417367,,0.2,3
13,ESCG01_162.jpg,72373077,1,3,,,0.2,5
14,ESCG01_162.jpg,72373077,0,10,,,0.2,8
15,ESCG01_162.jpg,72373077,0,10,,,0.2,10
16,ESCG01_162.jpg,72373077,2,0,0.9564091693417367,,0.3,3
17,ESCG01_162.jpg,72373077,1,3,,,0.3,5
18,ESCG01_162.jpg,72373077,0,10,,,0.3,8
19,ESCG01_162.jpg,72373077,0,10,,,0.3,10
20,ESCG01_162.jpg,72373077,2,0,0.9564091693417367,,0.4,3
21,ESCG01_162.jpg,72373077,1,3,,,0.4,5
22,ESCG01_162.jpg,72373077,0,10,,,0.4,8
23,ESCG01_162.jpg,72373077,0,10,,,0.4,10
24,ESCG01_162.jpg,72373077,2,0,0.9564091693417367,,0.5,3
25,ESCG01_162.jpg,72373077,1,3,,,0.5,5
26,ESCG01_162.jpg,72373077,0,10,,,0.5,8
27,ESCG01_162.jpg,72373077,0,10,,,0.5,10
0,ESCG01_163.jpg,72373079,0,5,,,0.01,3
1,ESCG01_163.jpg,72373079,0,5,,,0.01,5
2,ESCG01_163.jpg,72373079,0,5,,,0.01,8
3,ESCG01_163.jpg,72373079,0,5,,,0.01,10
4,ESCG01_163.jpg,72373079,0,5,,,0.05,3
5,ESCG01_163.jpg,72373079,0,5,,,0.05,5
6,ESCG01_163.jpg,72373079,0,5,,,0.05,8
7,ESCG01_163.jpg,72373079,0,5,,,0.05,10
8,ESCG01_163.jpg,72373079,0,5,,,0.1,3
9,ESCG01_163.jpg,72373079,0,5,,,0.1,5
10,ESCG01_163.jpg,72373079,0,5,,,0.1,8
11,ESCG01_163.jpg,72373079,0,5,,,0.1,10
12,ESCG01_163.jpg,72373079,0,5,,,0.2,3
13,ESCG01_163.jpg,72373079,0,5,,,0.2,5
14,ESCG01_163.jpg,72373079,0,5,,,0.2,8
15,ESCG01_163.jpg,72373079,0,5,,,0.2,10
16,ESCG01_163.jpg,72373079,0,5,,,0.3,3
17,ESCG01_163.jpg,72373079,0,5,,,0.3,5
18,ESCG01_163.jpg,72373079,0,5,,,0.3,8
19,ESCG01_163.jpg,72373079,0,5,,,0.3,10
20,ESCG01_163.jpg,72373079,0,5,,,0.4,3
21,ESCG01_163.jpg,72373079,0,5,,,0.4,5
22,ESCG01_163.jpg,72373079,0,5,,,0.4,8
23,ESCG01_163.jpg,72373079,0,5,,,0.4,10
24,ESCG01_163.jpg,72373079,0,5,,,0.5,3
25,ESCG01_163.jpg,72373079,0,5,,,0.5,5
26,ESCG01_163.jpg,72373079,0,5,,,0.5,8
27,ESCG01_163.jpg,72373079,0,5,,,0.5,10
0,ESCG01_164.jpg,72373080,0,81,,,0.01,3
1,ESCG01_164.jpg,72373080,0,81,,,0.01,5
2,ESCG01_164.jpg,72373080,0,81,,,0.01,8
3,ESCG01_164.jpg,72373080,0,81,,,0.01,10
4,ESCG01_164.jpg,72373080,4,13,0.6747387151968777,,0.05,3
5,ESCG01_164.jpg,72373080,4,13,0.6747387151968777,,0.05,5
6,ESCG01_164.jpg,72373080,4,15,0.6293369001954664,,0.05,8
7,ESCG01_164.jpg,72373080,4,17,0.58094442210851,,0.05,10
8,ESCG01_164.jpg,72373080,4,5,0.85249715065819,,0.1,3
9,ESCG01_164.jpg,72373080,4,5,0.85249715065819,,0.1,5
10,ESCG01_164.jpg,72373080,4,5,0.85249715065819,,0.1,8
11,ESCG01_164.jpg,72373080,4,5,0.85249715065819,,0.1,10
12,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.2,3
13,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.2,5
14,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.2,8
15,ESCG01_164.jpg,72373080,4,4,0.8821547521825693,,0.2,10
