subject_id,data.no,data.yes
72333406,21.0,0.0
72333407,42.0,1.0
72333408,40.0,2.0
72333409,32.0,1.0
72333410,37.0,2.0
72333411,44.0,2.0
72333412,35.0,1.0
72333413,35.0,2.0
72333414,40.0,0.0
72333415,32.0,0.0
72333416,37.0,1.0
72333417,46.0,0.0
72333418,35.0,1.0
72333419,34.0,3.0
72333420,44.0,1.0
72333421,44.0,0.0
72333422,39.0,1.0
72333423,40.0,0.0
72333424,37.0,0.0
72333425,40.0,1.0
72333426,40.0,2.0
72333427,28.0,17.0
72333428,32.0,1.0
72333429,38.0,0.0
72333430,43.0,1.0
72333431,42.0,1.0
72333432,41.0,1.0
72333433,47.0,1.0
72333434,45.0,0.0
72333435,40.0,1.0
72333436,42.0,0.0
72333437,39.0,2.0
72333438,41.0,2.0
72333439,40.0,2.0
72333440,47.0,2.0
72333441,36.0,0.0
72333442,46.0,0.0
72333443,45.0,0.0
72333444,37.0,2.0
72333445,39.0,3.0
72333446,34.0,0.0
72333447,40.0,2.0
72333448,39.0,1.0
72333449,35.0,2.0
72333450,34.0,4.0
72333451,38.0,1.0
72333452,34.0,0.0
72333453,41.0,1.0
72333454,35.0,3.0
72333455,40.0,2.0
72333456,32.0,1.0
72333457,41.0,0.0
72333458,34.0,3.0
72333459,39.0,1.0
72333460,35.0,0.0
72333461,38.0,1.0
72333462,38.0,0.0
72333463,41.0,1.0
72333464,34.0,0.0
72333465,28.0,6.0
72333466,40.0,5.0
72333467,36.0,0.0
72333468,40.0,1.0
72333469,37.0,0.0
72333470,37.0,0.0
72333471,36.0,0.0
72333472,44.0,1.0
72333473,40.0,1.0
72333474,36.0,0.0
72333475,37.0,1.0
72333476,40.0,1.0
72333477,33.0,0.0
72333478,46.0,1.0
72333479,44.0,1.0
72333480,37.0,2.0
72333481,41.0,1.0
72333482,35.0,1.0
72333483,48.0,0.0
72333484,38.0,1.0
72333485,34.0,1.0
72333486,38.0,0.0
72333487,36.0,1.0
72333488,41.0,2.0
72333489,36.0,1.0
72333490,40.0,1.0
72333491,38.0,1.0
72333492,38.0,2.0
72333493,35.0,2.0
72333494,44.0,0.0
72333495,37.0,2.0
72333496,32.0,0.0
72333497,40.0,1.0
72333498,32.0,2.0
72333499,35.0,2.0
72333500,34.0,2.0
72333501,38.0,1.0
72333502,40.0,1.0
72333503,40.0,2.0
72333504,32.0,2.0
72333505,38.0,6.0
72333506,42.0,1.0
72333507,21.0,0.0
72333508,20.0,0.0
72333509,20.0,1.0
72333510,21.0,0.0
72333511,22.0,0.0
72333512,21.0,0.0
72333513,19.0,2.0
72333514,15.0,6.0
72333515,20.0,1.0
72333516,21.0,1.0
72333517,21.0,1.0
72333518,21.0,0.0
72333519,20.0,1.0
72333520,19.0,1.0
72333521,20.0,1.0
72333522,22.0,0.0
72333523,21.0,0.0
72333524,12.0,9.0
72333525,21.0,0.0
72333526,21.0,1.0
72333527,21.0,0.0
72333528,21.0,0.0
72333529,20.0,1.0
72333530,21.0,0.0
72333531,21.0,0.0
72333532,21.0,0.0
72333533,20.0,1.0
72333534,21.0,1.0
72333535,21.0,0.0
72333536,21.0,1.0
72333537,20.0,1.0
72333538,21.0,0.0
72333539,19.0,2.0
72333540,22.0,0.0
72333541,20.0,0.0
72333542,21.0,0.0
72333543,21.0,0.0
72333544,20.0,2.0
72333545,22.0,0.0
72333546,22.0,0.0
72333547,22.0,0.0
72333548,20.0,2.0
72333549,21.0,0.0
72333550,20.0,1.0
72333551,22.0,0.0
72333552,21.0,1.0
72333553,20.0,0.0
72333554,22.0,0.0
72333555,21.0,0.0
72333556,21.0,0.0
