,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment,median_count,mean_count,mode_count,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
486,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_84.jpg,47969195,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
487,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_91.jpg,47969198,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
488,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_92.jpg,47969201,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
489,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_93.jpg,47969203,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
490,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_94.jpg,47969206,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
491,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_95.jpg,47969209,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
492,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_96.jpg,47969211,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
493,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_97.jpg,47969214,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
494,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_98.jpg,47969217,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
495,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_99.jpg,47969219,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
496,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_05.jpg,47969222,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
497,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_100.jpg,47969225,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
498,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_101.jpg,47969229,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
499,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_118.jpg,47969232,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
500,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_119.jpg,47969234,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
501,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_120.jpg,47969236,Y,0,1,0,0,1,Good,Visible,0,1.0,1.8,1.0,5.0,9.0,"[1, 1, 1, 3, 3]",0.0,1.0,0.0,5.0,0,4.0
502,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_121.jpg,47969240,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
503,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_122.jpg,47969243,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
504,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_123.jpg,47969247,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
505,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_124.jpg,47969250,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
506,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_125.jpg,47969252,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
507,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_140.jpg,47969256,Y,0,0,1,0,1,Good,Hard,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
