,image_name,dbscan_count,dbscan_noise,dbscan_silouette_score,dbscan_BIC_score,eps,min_samples
14,SFM01-1-2_109.jpg,0,7,,,0.2,8
15,SFM01-1-2_109.jpg,0,7,,,0.2,10
16,SFM01-1-2_109.jpg,0,7,,,0.3,3
17,SFM01-1-2_109.jpg,0,7,,,0.3,5
18,SFM01-1-2_109.jpg,0,7,,,0.3,8
19,SFM01-1-2_109.jpg,0,7,,,0.3,10
20,SFM01-1-2_109.jpg,0,7,,,0.4,3
21,SFM01-1-2_109.jpg,0,7,,,0.4,5
22,SFM01-1-2_109.jpg,0,7,,,0.4,8
23,SFM01-1-2_109.jpg,0,7,,,0.4,10
24,SFM01-1-2_109.jpg,0,7,,,0.5,3
25,SFM01-1-2_109.jpg,0,7,,,0.5,5
26,SFM01-1-2_109.jpg,0,7,,,0.5,8
27,SFM01-1-2_109.jpg,0,7,,,0.5,10
0,SFM01-1-2_139.jpg,0,100,,,0.01,3
1,SFM01-1-2_139.jpg,0,100,,,0.01,5
2,SFM01-1-2_139.jpg,0,100,,,0.01,8
3,SFM01-1-2_139.jpg,0,100,,,0.01,10
4,SFM01-1-2_139.jpg,9,58,-0.11668623258988911,,0.05,3
5,SFM01-1-2_139.jpg,3,81,-0.19898681001778923,,0.05,5
6,SFM01-1-2_139.jpg,1,91,,,0.05,8
7,SFM01-1-2_139.jpg,0,100,,,0.05,10
8,SFM01-1-2_139.jpg,10,34,0.27790200021855027,,0.1,3
9,SFM01-1-2_139.jpg,7,44,0.1572360124964271,,0.1,5
10,SFM01-1-2_139.jpg,3,69,0.014011925636377874,,0.1,8
11,SFM01-1-2_139.jpg,2,78,-0.10446741902845226,,0.1,10
12,SFM01-1-2_139.jpg,7,21,0.41274200687114393,,0.2,3
13,SFM01-1-2_139.jpg,7,21,0.41274200687114393,,0.2,5
14,SFM01-1-2_139.jpg,6,32,0.3439615975150671,,0.2,8
15,SFM01-1-2_139.jpg,2,64,0.09351795439605017,,0.2,10
16,SFM01-1-2_139.jpg,7,14,0.4958236944482999,,0.3,3
17,SFM01-1-2_139.jpg,6,18,0.44822015885867694,,0.3,5
18,SFM01-1-2_139.jpg,5,23,0.4651417791552301,,0.3,8
19,SFM01-1-2_139.jpg,4,34,0.2976832699497383,,0.3,10
20,SFM01-1-2_139.jpg,6,9,0.492209296126976,,0.4,3
21,SFM01-1-2_139.jpg,4,15,0.5145159037412184,,0.4,5
22,SFM01-1-2_139.jpg,3,20,0.5497269906167266,,0.4,8
23,SFM01-1-2_139.jpg,2,28,0.41825659065363624,,0.4,10
24,SFM01-1-2_139.jpg,5,7,0.5769295329905278,,0.5,3
25,SFM01-1-2_139.jpg,4,11,0.5500886238022872,,0.5,5
26,SFM01-1-2_139.jpg,3,18,0.5670185182879277,,0.5,8
27,SFM01-1-2_139.jpg,2,27,0.42815818108230685,,0.5,10
0,SFM01-1-2_209.jpg,0,20,,,0.01,3
1,SFM01-1-2_209.jpg,0,20,,,0.01,5
2,SFM01-1-2_209.jpg,0,20,,,0.01,8
3,SFM01-1-2_209.jpg,0,20,,,0.01,10
4,SFM01-1-2_209.jpg,1,17,,,0.05,3
5,SFM01-1-2_209.jpg,0,20,,,0.05,5
6,SFM01-1-2_209.jpg,0,20,,,0.05,8
7,SFM01-1-2_209.jpg,0,20,,,0.05,10
8,SFM01-1-2_209.jpg,1,17,,,0.1,3
9,SFM01-1-2_209.jpg,0,20,,,0.1,5
10,SFM01-1-2_209.jpg,0,20,,,0.1,8
11,SFM01-1-2_209.jpg,0,20,,,0.1,10
12,SFM01-1-2_209.jpg,2,5,0.17572164980578492,,0.2,3
13,SFM01-1-2_209.jpg,2,9,-0.04062658661046407,,0.2,5
14,SFM01-1-2_209.jpg,0,20,,,0.2,8
15,SFM01-1-2_209.jpg,0,20,,,0.2,10
16,SFM01-1-2_209.jpg,1,4,,,0.3,3
17,SFM01-1-2_209.jpg,1,4,,,0.3,5
18,SFM01-1-2_209.jpg,1,6,,,0.3,8
19,SFM01-1-2_209.jpg,1,6,,,0.3,10
20,SFM01-1-2_209.jpg,1,4,,,0.4,3
21,SFM01-1-2_209.jpg,1,4,,,0.4,5
22,SFM01-1-2_209.jpg,1,4,,,0.4,8
23,SFM01-1-2_209.jpg,1,5,,,0.4,10
24,SFM01-1-2_209.jpg,1,3,,,0.5,3
25,SFM01-1-2_209.jpg,1,3,,,0.5,5
26,SFM01-1-2_209.jpg,1,4,,,0.5,8
27,SFM01-1-2_209.jpg,1,4,,,0.5,10
0,SFM01-1-2_210.jpg,0,6,,,0.01,3
1,SFM01-1-2_210.jpg,0,6,,,0.01,5
2,SFM01-1-2_210.jpg,0,6,,,0.01,8
3,SFM01-1-2_210.jpg,0,6,,,0.01,10
4,SFM01-1-2_210.jpg,0,6,,,0.05,3
5,SFM01-1-2_210.jpg,0,6,,,0.05,5
6,SFM01-1-2_210.jpg,0,6,,,0.05,8
7,SFM01-1-2_210.jpg,0,6,,,0.05,10
8,SFM01-1-2_210.jpg,0,6,,,0.1,3
9,SFM01-1-2_210.jpg,0,6,,,0.1,5
10,SFM01-1-2_210.jpg,0,6,,,0.1,8
11,SFM01-1-2_210.jpg,0,6,,,0.1,10
12,SFM01-1-2_210.jpg,1,2,,,0.2,3
13,SFM01-1-2_210.jpg,0,6,,,0.2,5
14,SFM01-1-2_210.jpg,0,6,,,0.2,8
15,SFM01-1-2_210.jpg,0,6,,,0.2,10
16,SFM01-1-2_210.jpg,1,1,,,0.3,3
17,SFM01-1-2_210.jpg,1,1,,,0.3,5
18,SFM01-1-2_210.jpg,0,6,,,0.3,8
19,SFM01-1-2_210.jpg,0,6,,,0.3,10
20,SFM01-1-2_210.jpg,1,1,,,0.4,3
21,SFM01-1-2_210.jpg,1,1,,,0.4,5
22,SFM01-1-2_210.jpg,0,6,,,0.4,8
23,SFM01-1-2_210.jpg,0,6,,,0.4,10
24,SFM01-1-2_210.jpg,1,1,,,0.5,3
25,SFM01-1-2_210.jpg,1,1,,,0.5,5
26,SFM01-1-2_210.jpg,0,6,,,0.5,8
27,SFM01-1-2_210.jpg,0,6,,,0.5,10
0,SFM01-1-2_245.jpg,0,11,,,0.01,3
1,SFM01-1-2_245.jpg,0,11,,,0.01,5
2,SFM01-1-2_245.jpg,0,11,,,0.01,8
3,SFM01-1-2_245.jpg,0,11,,,0.01,10
4,SFM01-1-2_245.jpg,0,11,,,0.05,3
5,SFM01-1-2_245.jpg,0,11,,,0.05,5
6,SFM01-1-2_245.jpg,0,11,,,0.05,8
7,SFM01-1-2_245.jpg,0,11,,,0.05,10
8,SFM01-1-2_245.jpg,0,11,,,0.1,3
9,SFM01-1-2_245.jpg,0,11,,,0.1,5
10,SFM01-1-2_245.jpg,0,11,,,0.1,8
11,SFM01-1-2_245.jpg,0,11,,,0.1,10
12,SFM01-1-2_245.jpg,0,11,,,0.2,3
13,SFM01-1-2_245.jpg,0,11,,,0.2,5
14,SFM01-1-2_245.jpg,0,11,,,0.2,8
15,SFM01-1-2_245.jpg,0,11,,,0.2,10
16,SFM01-1-2_245.jpg,0,11,,,0.3,3
17,SFM01-1-2_245.jpg,0,11,,,0.3,5
18,SFM01-1-2_245.jpg,0,11,,,0.3,8
19,SFM01-1-2_245.jpg,0,11,,,0.3,10
20,SFM01-1-2_245.jpg,0,11,,,0.4,3
21,SFM01-1-2_245.jpg,0,11,,,0.4,5
22,SFM01-1-2_245.jpg,0,11,,,0.4,8
23,SFM01-1-2_245.jpg,0,11,,,0.4,10
24,SFM01-1-2_245.jpg,1,8,,,0.5,3
25,SFM01-1-2_245.jpg,0,11,,,0.5,5
26,SFM01-1-2_245.jpg,0,11,,,0.5,8
27,SFM01-1-2_245.jpg,0,11,,,0.5,10
0,SFM01-1-2_264.jpg,1,82,,,0.01,3
1,SFM01-1-2_264.jpg,0,85,,,0.01,5
2,SFM01-1-2_264.jpg,0,85,,,0.01,8
3,SFM01-1-2_264.jpg,0,85,,,0.01,10
4,SFM01-1-2_264.jpg,9,34,0.19877668462410503,,0.05,3
5,SFM01-1-2_264.jpg,4,55,-0.13126156928464697,,0.05,5
6,SFM01-1-2_264.jpg,0,85,,,0.05,8
7,SFM01-1-2_264.jpg,0,85,,,0.05,10
8,SFM01-1-2_264.jpg,9,14,0.41032301569264634,,0.1,3
9,SFM01-1-2_264.jpg,5,31,0.21645879528928036,,0.1,5
10,SFM01-1-2_264.jpg,3,53,-0.01068436240463092,,0.1,8
11,SFM01-1-2_264.jpg,2,61,-0.10895802772393522,,0.1,10
12,SFM01-1-2_264.jpg,6,9,0.5604242252553261,,0.2,3
13,SFM01-1-2_264.jpg,5,12,0.5624940628681883,,0.2,5
14,SFM01-1-2_264.jpg,2,35,0.31657474737770225,,0.2,8
15,SFM01-1-2_264.jpg,2,35,0.31657474737770225,,0.2,10
16,SFM01-1-2_264.jpg,4,9,0.3477643494895559,,0.3,3
17,SFM01-1-2_264.jpg,3,12,0.3529566586971249,,0.3,5
18,SFM01-1-2_264.jpg,2,23,0.4471724040095883,,0.3,8
19,SFM01-1-2_264.jpg,1,31,,,0.3,10
20,SFM01-1-2_264.jpg,3,9,0.6215667061476671,,0.4,3
21,SFM01-1-2_264.jpg,2,12,0.6273785548819815,,0.4,5
22,SFM01-1-2_264.jpg,2,12,0.6273785548819815,,0.4,8
23,SFM01-1-2_264.jpg,2,12,0.6273785548819815,,0.4,10
24,SFM01-1-2_264.jpg,4,5,0.6531982895798815,,0.5,3
25,SFM01-1-2_264.jpg,2,12,0.6273785548819815,,0.5,5
26,SFM01-1-2_264.jpg,2,12,0.6273785548819815,,0.5,8
27,SFM01-1-2_264.jpg,2,12,0.6273785548819815,,0.5,10
0,SFM01-1-2_265.jpg,1,24,,,0.01,3
1,SFM01-1-2_265.jpg,0,27,,,0.01,5
2,SFM01-1-2_265.jpg,0,27,,,0.01,8
3,SFM01-1-2_265.jpg,0,27,,,0.01,10
4,SFM01-1-2_265.jpg,1,15,,,0.05,3
5,SFM01-1-2_265.jpg,1,15,,,0.05,5
6,SFM01-1-2_265.jpg,1,16,,,0.05,8
7,SFM01-1-2_265.jpg,1,17,,,0.05,10
8,SFM01-1-2_265.jpg,1,7,,,0.1,3
9,SFM01-1-2_265.jpg,1,8,,,0.1,5
10,SFM01-1-2_265.jpg,1,10,,,0.1,8
11,SFM01-1-2_265.jpg,1,11,,,0.1,10
12,SFM01-1-2_265.jpg,1,7,,,0.2,3
13,SFM01-1-2_265.jpg,1,7,,,0.2,5
14,SFM01-1-2_265.jpg,1,7,,,0.2,8
15,SFM01-1-2_265.jpg,1,7,,,0.2,10
16,SFM01-1-2_265.jpg,1,7,,,0.3,3
17,SFM01-1-2_265.jpg,1,7,,,0.3,5
18,SFM01-1-2_265.jpg,1,7,,,0.3,8
19,SFM01-1-2_265.jpg,1,7,,,0.3,10
20,SFM01-1-2_265.jpg,1,7,,,0.4,3
21,SFM01-1-2_265.jpg,1,7,,,0.4,5
22,SFM01-1-2_265.jpg,1,7,,,0.4,8
23,SFM01-1-2_265.jpg,1,7,,,0.4,10
24,SFM01-1-2_265.jpg,1,7,,,0.5,3
25,SFM01-1-2_265.jpg,1,7,,,0.5,5
26,SFM01-1-2_265.jpg,1,7,,,0.5,8
27,SFM01-1-2_265.jpg,1,7,,,0.5,10
0,SFM01-1-2_284.jpg,11,165,-0.4430078169216487,,0.01,3
1,SFM01-1-2_284.jpg,0,203,,,0.01,5
2,SFM01-1-2_284.jpg,0,203,,,0.01,8
3,SFM01-1-2_284.jpg,0,203,,,0.01,10
4,SFM01-1-2_284.jpg,21,43,0.49833260552357855,,0.05,3
5,SFM01-1-2_284.jpg,12,75,0.31859821328055704,,0.05,5
6,SFM01-1-2_284.jpg,10,88,0.2564599725023324,,0.05,8
7,SFM01-1-2_284.jpg,8,108,0.10783197659196904,,0.05,10
8,SFM01-1-2_284.jpg,21,30,0.5821278608707897,,0.1,3
