,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
718,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_350.jpg,47969975,Y,0,1,0,0,1,Good,Visible,
720,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_367.jpg,47969981,Y,0,1,1,0,2,Good,Visible,One iguana that only Andres sees; consensus: 2 iguanas seen by Andrea and Andres
732,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_111.jpg,47970029,Y,0,0,1,0,1,Good,Visible,
743,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_123.jpg,47970063,Y,0,0,1,0,1,Good,Hard,
744,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_124.jpg,47970067,Y,0,1,0,0,1,Good,Visible,
749,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_132.jpg,47970090,Y,0,1,0,0,1,Good,Visible,
753,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_136.jpg,47970102,N,0,0,4,0,4,Good,Hard,Seven iguanas only Andres sees; consensus: 4 iguanas seen by Andrea and Andres
754,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_137.jpg,47970105,Y,1,1,5,0,7,Good,Hard,
764,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_149.jpg,47970139,Y,0,1,0,0,1,Good,Visible,not considered number 2 marked in the imaged
767,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_152.jpg,47970148,Y,1,1,6,0,8,Bad,Hard,
785,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_175.jpg,47970197,Y,0,1,0,0,1,Bad,Visible,
790,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_184.jpg,47970207,Y,0,3,0,0,3,Good,Visible,
794,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_191.jpg,47970216,Y,0,0,5,0,5,Good,Visible,
