,image_name_x,subject_id,Median0s,Mean0s,Max0s,Std0s,Median.r,Mean.r,Mode0s,subspecies,island,site_name,subject_group,image_name_y,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
17,SFM01-1-2_57.jpg,47968499,1.0,1.466666667,6,1.302013093,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_57.jpg,Y,0,1,0,0,1,Good,Visible,
18,SFM01-1-2_59.jpg,47968506,1.0,1.2,2,0.421637021,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_59.jpg,Y,0,1,0,0,1,Good,Visible,
19,SFM01-2-1_305.jpg,47969049,5.0,5.0,8,4.242640687,5,5,8,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_305.jpg,Y,0,1,1,0,2,Bad,Hard,
20,SFM01-2-2-1_120.jpg,47969236,1.0,1.0,1,0.0,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_120.jpg,Y,0,1,0,0,1,Good,Visible,
21,SFM01-2-2-1_195.jpg,47969327,1.0,1.090909091,2,0.301511345,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_195.jpg,Y,0,1,0,0,1,Good,Visible,
22,SFM01-2-2-1_196.jpg,47969331,1.0,1.333333333,3,0.707106781,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_196.jpg,Y,0,1,1,0,2,Good,Hard,
23,SFM01-2-2-1_217.jpg,47969359,1.0,1.090909091,2,0.301511345,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_217.jpg,Y,0,1,0,0,1,Good,Visible,
24,SFM01-2-2-1_244.jpg,47969405,1.0,1.8,4,1.303840481,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_244.jpg,Y,0,1,1,0,2,Good,Visible,not considered number 3 marked in the image
25,SFM01-2-2-1_272.jpg,47969452,1.0,1.153846154,2,0.375533808,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_272.jpg,Y,0,1,0,0,1,Good,Visible,
26,SFM01-2-2-1_293.jpg,47969478,15.0,15.0,18,4.242640687,15,15,18,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_293.jpg,N,0,0,9,0,9,Good,Hard,
27,SFM01-2-2-1_320.jpg,47969515,1.0,1.692307692,8,1.931519928,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_320.jpg,Y,0,1,0,0,1,Good,Visible,
28,SFM01-2-2-1_321.jpg,47969518,1.0,2.0,4,1.732050808,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_321.jpg,Y,0,1,0,0,1,Good,Visible,
29,SFM01-2-2-1_344.jpg,47969531,2.0,2.0,4,1.069044968,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_344.jpg,Y,0,2,2,1,4,Good,Hard,not consider number 4 marked in the image
30,SFM01-2-2-1_96.jpg,47969597,1.0,1.8,4,1.303840481,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_96.jpg,Y,0,1,0,0,1,Good,Visible,
31,SFM01-2-2-2_271.jpg,47969763,2.0,2.0,2,,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_271.jpg,N,0,0,0,0,0,,,
32,SFM01-2-2-2_278.jpg,47969782,4.0,4.0,6,2.828427125,4,4,6,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_278.jpg,Y,0,0,1,0,1,Good,Visible,
33,SFM01-2-2-2_280.jpg,47969789,1.0,2.4,7,2.607680962,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_280.jpg,Y,0,1,0,0,1,Good,Visible,
34,SFM01-2-2-2_282.jpg,47969795,3.5,3.5,4,0.707106781,4,4,3,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_282.jpg,Y,0,2,0,2,2,Good,Hard,
35,SFM01-2-2-2_292.jpg,47969825,17.0,14.58333333,32,10.44864788,17,15,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_292.jpg,Y,0,4,7,0,11,Good,Visible,
36,SFM01-2-2-2_293.jpg,47969828,1.5,3.7,13,3.973523485,2,4,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_293.jpg,Y,1,0,6,1,7,Good,Hard,
37,SFM01-2-2-2_302.jpg,47969853,2.0,1.8,4,0.941123948,2,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_302.jpg,Y,0,1,1,0,2,Good,Visible,
38,SFM01-2-2-2_305.jpg,47969862,2.0,1.857142857,3,0.534522484,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_305.jpg,Y,0,0,1,0,1,Good,Visible,
39,SFM01-2-2-2_308.jpg,47969871,1.0,1.333333333,2,0.516397779,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_308.jpg,Y,0,1,0,0,1,Good,Visible,
40,SFM01-2-2-2_320.jpg,47969901,2.0,2.375,4,0.916125381,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_320.jpg,Y,0,2,1,0,3,Good,Hard,
41,SFM01-2-2-2_321.jpg,47969904,1.0,3.6,13,5.272570531,1,4,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_321.jpg,Y,0,1,3,0,4,Good,Visible,
42,SFM01-2-2-2_323.jpg,47969912,12.0,12.0,18,8.485281374,12,12,18,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_323.jpg,Y,1,1,4,0,6,Good,Visible,
43,SFM01-2-2-2_325.jpg,47969918,3.0,4.4,18,4.256088076,3,4,3,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_325.jpg,Y,0,3,5,0,8,Good,Visible,
44,SFM01-2-2-2_328.jpg,47969928,1.5,1.5,2,0.534522484,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_328.jpg,Y,0,1,0,0,1,Good,Visible,
45,SFM01-2-2-2_329.jpg,47969930,1.0,1.642857143,4,1.081817762,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_329.jpg,Y,0,1,0,0,1,Good,Visible,
46,SFM01-2-2-2_331.jpg,47969939,2.5,2.75,5,1.707825128,3,3,5,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_331.jpg,Y,0,1,2,0,3,Good,Visible,
47,SFM01-2-2-2_333.jpg,47969945,8.0,9.571428571,23,7.900479885,8,10,19,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_333.jpg,Y,1,0,8,0,9,Good,Visible,
48,SFM01-2-2-2_344.jpg,47969952,15.0,14.75,24,5.007137762,15,15,16,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_344.jpg,Y,1,3,8,0,12,Bad,Hard,One iguana that only Andres sees; consensus: 12 iguanas seen by Andrea and Andres
49,SFM01-2-2-2_348.jpg,47969969,2.5,10.41666667,41,14.41879035,3,10,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_348.jpg,Y,1,1,12,0,14,Good,Hard,Three iguanas only Andres sees; consensus: 14 iguanas seen by Andrea and Andres
50,SFM01-2-2-2_349.jpg,47969972,1.0,1.5,3,0.707106781,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_349.jpg,Y,0,1,0,0,1,Good,Visible,
51,SFM01-2-2-2_350.jpg,47969975,1.0,1.25,2,0.5,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_350.jpg,Y,0,1,0,0,1,Good,Visible,
