,site_name,subject_group,image_name,subject_id,count_total,median_count,mean_count,mode_min_count,mode_max_count,mode_count,mode_count_avg,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points,data.no,data.yes
100,BahiaNegraD,MBBD1,MBBD02-2_248.jpg,78928708,2,2.0,2.12,2.0,2.0,[2],2.0,17.0,36.0,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]",3.0,2.0,0.0,5.0,0.0,0.0,14.0,17.0
101,BahiaNegraD,MBBD1,MBBD02-2_26.jpg,78928713,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
102,BahiaNegraD,MBBD1,MBBD02-3_103.jpg,78928782,1,1.0,1.0,1.0,1.0,[1],1.0,4.0,4.0,"[1, 1, 1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0
103,BahiaNegraD,MBBD1,MBBD02-3_132.jpg,78928809,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
104,BahiaNegraD,MBBD1,MBBD02-3_138.jpg,78928815,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
105,BahiaNegraD,MBBD1,MBBD02-3_172.jpg,78928839,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
106,BahiaNegraD,MBBD1,MBBD02-3_176.jpg,78928843,0,4.0,4.0,4.0,4.0,[4],4.0,1.0,4.0,[4],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
107,BahiaNegraD,MBBD2,MBBD03-1_115.jpg,78929126,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
108,BahiaNegraD,MBBD2,MBBD03-1_164.jpg,78929160,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,29.0,2.0
109,BahiaNegraD,MBBD2,MBBD03-1_169.jpg,78929165,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,28.0,3.0
110,BahiaNegraD,MBBD2,MBBD03-1_62.jpg,78929218,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
111,BahiaNegraD,MBBD2,MBBD03-2_150.jpg,78929294,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
112,BahiaNegraD,MBBD2,MBBD03-2_160.jpg,78929300,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
113,BahiaNegraD,MBBD2,MBBD03-2_197.jpg,78929326,0,4.5,4.5,4.0,5.0,"[4, 5]",4.5,2.0,9.0,"[4, 5]",0.0,1.0,0.0,5.0,0.0,4.0,29.0,2.0
114,BahiaNegraD,MBBD2,MBBD03-2_82.jpg,78929380,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
115,BahiaNegraD,MBBD2,MBBD03-2_94.jpg,78929387,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
116,BahiaNegraD,MBBD2,MBBD03-3_18.jpg,78929425,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
117,BahiaNegraD,MBBD2,MBBD04-1_133.jpg,78929511,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
118,BahiaNegraD,MBBD2,MBBD04-1_135.jpg,78929513,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
119,BahiaNegraD,MBBD2,MBBD04-1_147.jpg,78929520,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
120,BahiaNegraD,MBBD2,MBBD04-1_19.jpg,78929547,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
121,BahiaNegraD,MBBD2,MBBD04-1_21.jpg,78929549,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
122,BahiaNegraD,MBBD2,MBBD04-1_67.jpg,78929572,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
123,BahiaNegraD,MBBD2,MBBD04-2_02.jpg,78929591,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
124,BahiaNegraD,MBBD2,MBBD04-2_28.jpg,78929698,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
125,BahiaNegraD,MBBD2,MBBD04-2_54.jpg,78929715,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
126,BahiaNegraD,MBBD2,MBBD04-2_55.jpg,78929716,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
127,BahiaNegraD,MBBD2,MBBD04-2_69.jpg,78929720,0,3.5,3.5,2.0,5.0,"[2, 5]",3.5,2.0,7.0,"[2, 5]",0.0,1.0,0.0,5.0,0.0,2.0,28.0,3.0
128,BahiaNegraD,MBBD2,MBBD04-2_75.jpg,78929726,0,20.0,20.0,20.0,20.0,[20],20.0,1.0,20.0,[20],3.0,1.0,0.0,5.0,0.0,12.0,30.0,1.0
129,BahiaNegraD,MBBD2,MBBD04-3_108.jpg,78929752,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
130,BahiaNegraD,MBBD2,MBBD04-3_120.jpg,78929766,0,3.0,3.0,1.0,5.0,"[1, 5]",3.0,2.0,6.0,"[1, 5]",1.0,1.0,0.0,5.0,0.0,1.0,28.0,3.0
131,BahiaNegraD,MBBD2,MBBD04-3_140.jpg,78929784,0,4.0,4.0,4.0,4.0,[4],4.0,1.0,4.0,[4],0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0
132,BahiaNegraD,MBBD2,MBBD04-3_162.jpg,78929804,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
133,BahiaNegraD,MBBD2,MBBD04-3_166.jpg,78929808,0,3.0,3.0,3.0,3.0,[3],3.0,1.0,3.0,[3],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
134,BahiaNegraD,MBBD2,MBBD04-3_46.jpg,78929880,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
135,BahiaNegraD,MBBD2,MBBD04-3_73.jpg,78929902,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
136,BahiaNegraE,MBBE,MBBE01-1_108.jpg,78929928,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
137,BahiaNegraE,MBBE,MBBE01-1_119.jpg,78929939,0,6.0,6.0,6.0,6.0,[6],6.0,1.0,6.0,[6],0.0,1.0,0.0,5.0,0.0,1.0,30.0,1.0
138,BahiaNegraE,MBBE,MBBE01-1_146.jpg,78929961,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
139,BahiaNegraE,MBBE,MBBE01-1_171.jpg,78929977,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,29.0,2.0
140,BahiaNegraE,MBBE,MBBE01-1_23.jpg,78929985,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
141,BahiaNegraE,MBBE,MBBE01-2_11.jpg,78930028,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
142,BahiaNegraE,MBBE,MBBE01-2_149.jpg,78930052,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
143,BahiaNegraE,MBBE,MBBE01-2_35.jpg,78930072,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
144,BahiaNegraE,MBBE,MBBE01-2_36.jpg,78930073,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
145,BahiaNegraE,MBBE,MBBE01-2_99.jpg,78930110,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
146,BahiaNegraE,MBBE,MBBE01-3_105.jpg,78930120,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
147,BahiaNegraE,MBBE,MBBE01-3_152.jpg,78930146,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
148,BahiaNegraE,MBBE,MBBE01-3_164.jpg,78930151,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
