,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
689,A. c. venustissimus,Floreana,Montura,Montura,FMO02-1_114.jpg,78964061,Y,0,2,2,0,4,Good,Visible,
692,A. c. venustissimus,Floreana,Montura,Montura,FMO02-1_131.jpg,78964076,N,0,0,0,0,0,,,1 dead
698,A. c. venustissimus,Floreana,Montura,Montura,FMO02-1_76.jpg,78964120,Y,0,1,0,1,1,Good,Visible,
699,A. c. venustissimus,Floreana,Montura,Montura,FMO02-1_79.jpg,78964123,Y,0,1,0,0,1,Good,Visible,
701,A. c. venustissimus,Floreana,Montura,Montura,FMO02-2_104.jpg,78964144,Y,0,0,1,0,1,Good,Visible,
712,A. c. venustissimus,Floreana,Montura,Montura,FMO03-1_14.jpg,78964245,Y,0,0,2,0,2,Good,Visible,
714,A. c. venustissimus,Floreana,Montura,Montura,FMO03-1_63.jpg,78964279,Y,0,9,2,2,11,Good,Visible,
716,A. c. venustissimus,Floreana,Montura,Montura,FMO03-1_77.jpg,78964291,Y,0,8,5,1,13,Good,Visible,
720,A. c. venustissimus,Floreana,Montura,Montura,FMO03-2_66.jpg,78964343,Y,0,4,6,0,10,Bad,Visible,"concensus: 10 iguanas seen by all, match at 4 males no  lek, rest asigned to others"
721,A. c. venustissimus,Floreana,Montura,Montura,FMO03-2_70.jpg,78964347,Y,0,1,0,0,1,Good,Visible,
722,A. c. venustissimus,Floreana,Montura,Montura,FMO03-2_76.jpg,78964353,Y,0,5,14,0,19,Good,Visible,"concensus: 19 iguanas seen by all, match at 5 males no  lek, rest asigned to others"
723,A. c. venustissimus,Floreana,Montura,Montura,FMO04-1_14.jpg,78964369,N,0,0,0,0,0,,,
726,A. c. venustissimus,Floreana,Montura,Montura,FMO04-1_86.jpg,78964404,Y,0,1,4,0,5,Good,Visible,
729,A. c. venustissimus,Floreana,Montura,Montura,FMO04-2_46.jpg,78964437,Y,0,5,0,0,5,Good,Visible,concensus: 5 males no lek
738,A. c. venustissimus,Floreana,Montura,Montura,FMO06_115.jpg,78964616,Y,0,1,0,0,1,Good,Visible,
741,A. c. venustissimus,Floreana,Montura,Montura,FMO06_184.jpg,78964652,Y,0,0,1,0,1,Bad,Hard,
742,A. c. venustissimus,Floreana,Montura,Montura,FMO06_197.jpg,78964659,Y,0,4,2,3,6,Bad,Visible,
743,A. c. venustissimus,Floreana,Montura,Montura,FMO06_28.jpg,78964670,Y,0,1,0,0,1,Good,Visible,
745,A. c. venustissimus,Floreana,Montura,Montura,FMO06_53.jpg,78964684,Y,0,1,2,0,3,Bad,Hard,
816,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_13.jpg,78964714,Y,1,3,15,0,19,Good,Visible,
817,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_19.jpg,78964720,Y,1,0,8,1,9,Good,Visible,
818,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_21.jpg,78964722,Y,0,2,5,1,7,Good,Visible,
819,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_22.jpg,78964723,Y,0,1,4,1,5,Good,Visible,
820,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_23.jpg,78964724,Y,0,2,0,0,2,Good,Visible,
821,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_118.jpg,78964735,Y,0,1,3,0,4,Bad,Hard,
822,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_123.jpg,78964739,Y,0,1,2,0,3,Bad,Hard,
826,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_244.jpg,78964769,Y,0,1,17,1,18,Bad,Hard,concensus: 18 iguanas and 1 partial seen by Andrea and Andres
828,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_308.jpg,78964779,Y,0,2,5,2,7,Bad,Hard,
829,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_340.jpg,78964785,Y,1,1,13,0,15,Bad,Hard,1 partial only Andres sees; concensus 15 iguanas seen by Andres and Andrea
831,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_99.jpg,78964822,Y,1,2,11,0,14,Bad,Hard,
832,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-3_187.jpg,78964844,Y,0,0,2,0,2,Bad,Hard,
834,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-3_291.jpg,78964848,Y,0,2,2,0,4,Bad,Hard,
836,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-3_40.jpg,78964856,Y,0,1,0,0,1,Bad,Hard,
842,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_173.jpg,78964906,Y,0,1,2,0,3,Good,Visible,
843,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_174.jpg,78964907,Y,0,0,2,0,2,Good,Visible,
846,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_207.jpg,78964924,Y,0,1,0,0,1,Good,Visible,
852,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_258.jpg,78964952,Y,0,0,0,1,0,Good,Visible,
853,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_264.jpg,78964958,Y,0,0,1,0,1,Good,Visible,
854,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_278.jpg,78964972,Y,0,0,2,1,2,Good,Visible,
858,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_323.jpg,78965007,Y,1,0,9,2,10,Good,Visible,
859,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_324.jpg,78965008,Y,0,0,4,1,4,Good,Hard,
860,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_333.jpg,78965013,Y,0,1,2,0,3,Good,Visible,
861,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_337.jpg,78965017,Y,0,1,2,1,3,Good,Visible,
862,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_339.jpg,78965019,Y,1,0,6,1,7,Good,Visible,1 iguana only Andres sees; concensus: 7 iguanas
863,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_355.jpg,78965032,Y,0,1,2,1,3,Good,Visible,
866,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_409.jpg,78965058,Y,0,1,4,0,5,Good,Visible,
868,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_431.jpg,78965066,Y,0,0,2,1,2,Good,Visible,
872,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-1_79.jpg,78965103,Y,0,0,9,1,9,Good,Visible,
878,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH02-2_30.jpg,78965135,Y,1,0,5,0,6,Good,Hard,Andres has many more; concensus: 1 male lek and 6 others seen by Andres and Andrea
948,A. c. hayampi,Marchena,WestBahiaNegra,MWBBC3,MWBBC05-3_56.jpg,78937831,Y,0,1,1,0,2,Good,Visible,
956,A. c. sielmanni,Pinta,WestCoast,PWC,PWC01-1_61.jpg,78962844,Y,1,0,13,0,14,Good,Visible,
957,A. c. sielmanni,Pinta,WestCoast,PWC,PWC01-1_62.jpg,78962845,Y,0,2,10,1,12,Good,Visible,
979,A. c. sielmanni,Pinta,WestCoast,PWC,PWC01-4_231.jpg,78962998,N,0,0,0,0,0,,,
983,A. c. sielmanni,Pinta,WestCoast,PWC,PWC01-5_34.jpg,78963042,Y,0,0,1,0,1,Good,Visible,
1003,A. c. sielmanni,Pinta,WestCoast,PWC,PWC03-2-1_42.jpg,78963297,Y,0,0,3,1,3,Good,Visible,
1034,A. c. nanus,Genovesa,WestCoastA,GWA,GWA01-2_231.jpg,78924089,Y,0,1,1,0,2,Bad,Hard,
1063,A. c. nanus,Genovesa,WestCoastA,GWA,GWA01-3_91.jpg,78924592,Y,0,0,1,0,1,Bad,Visible,
1066,A. c. nanus,Genovesa,WestCoastA,GWA,GWA02-1_223.jpg,78924658,Y,0,0,1,0,1,Good,Visible,
1080,A. c. nanus,Genovesa,WestCoastA,GWA,GWA02-2_25.jpg,78924875,Y,0,0,1,0,1,Good,Visible,
1113,A. c. nanus,Genovesa,WestCoastB,GWB,GWB01-1_76.jpg,78925243,Y,0,0,1,0,1,Good,Visible,
1128,A. c. nanus,Genovesa,WestCoastB,GWB,GWB01-2_239.jpg,78925366,Y,0,0,1,0,1,Good,Visible,
1131,A. c. nanus,Genovesa,WestCoastB,GWB,GWB01-2_300.jpg,78925388,Y,0,0,1,0,1,Good,Visible,
1135,A. c. nanus,Genovesa,WestCoastB,GWB,GWB01-2_421.jpg,78925457,Y,0,0,1,0,1,Good,Visible,
1136,A. c. nanus,Genovesa,WestCoastB,GWB,GWB01-2_430.jpg,78925467,Y,0,0,1,0,1,Good,Visible,
1144,A. c. nanus,Genovesa,WestCoastB,GWB,GWB01-3_12.jpg,78925536,Y,0,0,1,0,1,Good,Visible,
1146,A. c. nanus,Genovesa,WestCoastB,GWB,GWB01-3_152.jpg,78925551,Y,0,0,2,0,2,Good,Hard,
