,dbscan_count,dbscan_noise,dbscan_silouette_score,image_name,eps,min_samples,dbscan_BIC_score
12,7,9,0.702956918634224,ESCH01-1_19.jpg,0.2,3,
13,7,9,0.702956918634224,ESCH01-1_19.jpg,0.2,5,
14,7,9,0.702956918634224,ESCH01-1_19.jpg,0.2,8,
15,5,27,0.4362586579311423,ESCH01-1_19.jpg,0.2,10,
16,5,8,0.6864065021286266,ESCH01-1_19.jpg,0.3,3,
17,5,8,0.6864065021286266,ESCH01-1_19.jpg,0.3,5,
18,5,8,0.6864065021286266,ESCH01-1_19.jpg,0.3,8,
19,4,17,0.5610613506009176,ESCH01-1_19.jpg,0.3,10,
20,4,8,0.5924735168010788,ESCH01-1_19.jpg,0.4,3,
21,4,8,0.5924735168010788,ESCH01-1_19.jpg,0.4,5,
22,4,8,0.5924735168010788,ESCH01-1_19.jpg,0.4,8,
23,3,17,0.46670568631980397,ESCH01-1_19.jpg,0.4,10,
24,5,4,0.6188294123312209,ESCH01-1_19.jpg,0.5,3,
25,4,7,0.6027628562119766,ESCH01-1_19.jpg,0.5,5,
26,4,7,0.6027628562119766,ESCH01-1_19.jpg,0.5,8,
27,3,16,0.47767889139443626,ESCH01-1_19.jpg,0.5,10,
0,11,126,-0.5045917573025617,ESCH01-1_21.jpg,0.01,3,
1,0,167,,ESCH01-1_21.jpg,0.01,5,
2,0,167,,ESCH01-1_21.jpg,0.01,8,
3,0,167,,ESCH01-1_21.jpg,0.01,10,
4,10,16,0.7250895610151205,ESCH01-1_21.jpg,0.05,3,
5,9,21,0.687494068349572,ESCH01-1_21.jpg,0.05,5,
6,8,31,0.594809888499598,ESCH01-1_21.jpg,0.05,8,
7,7,42,0.4924494630087028,ESCH01-1_21.jpg,0.05,10,
8,10,11,0.7736036879139052,ESCH01-1_21.jpg,0.1,3,
9,9,15,0.7417720280413902,ESCH01-1_21.jpg,0.1,5,
10,9,15,0.7417720280413902,ESCH01-1_21.jpg,0.1,8,
11,7,33,0.587484357148324,ESCH01-1_21.jpg,0.1,10,
12,10,9,0.7910434400893409,ESCH01-1_21.jpg,0.2,3,
13,9,13,0.7582899766119242,ESCH01-1_21.jpg,0.2,5,
14,9,13,0.7582899766119242,ESCH01-1_21.jpg,0.2,8,
15,8,21,0.6878932290673258,ESCH01-1_21.jpg,0.2,10,
16,7,4,0.8467745990796376,ESCH01-1_21.jpg,0.3,3,
17,7,5,0.8271627820206637,ESCH01-1_21.jpg,0.3,5,
18,6,10,0.790251918643839,ESCH01-1_21.jpg,0.3,8,
19,6,10,0.790251918643839,ESCH01-1_21.jpg,0.3,10,
20,8,1,0.8612004964425515,ESCH01-1_21.jpg,0.4,3,
21,7,4,0.8467745990796376,ESCH01-1_21.jpg,0.4,5,
22,6,10,0.790251918643839,ESCH01-1_21.jpg,0.4,8,
23,6,10,0.790251918643839,ESCH01-1_21.jpg,0.4,10,
24,7,1,0.7961459202785756,ESCH01-1_21.jpg,0.5,3,
25,6,4,0.7971981294151669,ESCH01-1_21.jpg,0.5,5,
26,5,10,0.7469274552863815,ESCH01-1_21.jpg,0.5,8,
27,5,10,0.7469274552863815,ESCH01-1_21.jpg,0.5,10,
0,6,76,-0.5058040857036922,ESCH01-1_22.jpg,0.01,3,
1,2,95,-0.42270445173043103,ESCH01-1_22.jpg,0.01,5,
2,0,105,,ESCH01-1_22.jpg,0.01,8,
3,0,105,,ESCH01-1_22.jpg,0.01,10,
4,4,10,0.7898431979480325,ESCH01-1_22.jpg,0.05,3,
5,5,12,0.6734838806777641,ESCH01-1_22.jpg,0.05,5,
6,4,23,0.56393681303568,ESCH01-1_22.jpg,0.05,8,
7,4,24,0.545973116297582,ESCH01-1_22.jpg,0.05,10,
8,5,2,0.8892381509890015,ESCH01-1_22.jpg,0.1,3,
9,4,5,0.8766422887031871,ESCH01-1_22.jpg,0.1,5,
10,4,5,0.8766422887031871,ESCH01-1_22.jpg,0.1,8,
11,4,5,0.8766422887031871,ESCH01-1_22.jpg,0.1,10,
12,5,1,0.9098912235085106,ESCH01-1_22.jpg,0.2,3,
13,4,4,0.8917132828487954,ESCH01-1_22.jpg,0.2,5,
14,4,4,0.8917132828487954,ESCH01-1_22.jpg,0.2,8,
15,4,4,0.8917132828487954,ESCH01-1_22.jpg,0.2,10,
16,5,1,0.9098912235085106,ESCH01-1_22.jpg,0.3,3,
17,4,4,0.8917132828487954,ESCH01-1_22.jpg,0.3,5,
18,4,4,0.8917132828487954,ESCH01-1_22.jpg,0.3,8,
19,4,4,0.8917132828487954,ESCH01-1_22.jpg,0.3,10,
20,4,1,0.931679789060621,ESCH01-1_22.jpg,0.4,3,
21,4,1,0.931679789060621,ESCH01-1_22.jpg,0.4,5,
22,4,1,0.931679789060621,ESCH01-1_22.jpg,0.4,8,
