,site_name,subject_group,image_name,subject_id,count_total,median_count,mean_count,mode_min_count,mode_max_count,mode_count,mode_count_avg,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
12,El Miedo,SFM1,SFM01-1-1_104.jpg,47967846,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
13,El Miedo,SFM1,SFM01-1-1_105.jpg,47967848,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
14,El Miedo,SFM1,SFM01-1-1_106.jpg,47967851,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
15,El Miedo,SFM1,SFM01-1-1_107.jpg,47967855,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
16,El Miedo,SFM1,SFM01-1-1_108.jpg,47967857,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
17,El Miedo,SFM1,SFM01-1-1_109.jpg,47967860,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
18,El Miedo,SFM1,SFM01-1-1_110.jpg,47967864,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
19,El Miedo,SFM1,SFM01-1-1_111.jpg,47967867,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
20,El Miedo,SFM1,SFM01-1-1_112.jpg,47967870,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
21,El Miedo,SFM1,SFM01-1-1_113.jpg,47967873,0,5.0,5.0,5.0,5.0,[5],5.0,1.0,5.0,[5],0.0,1.0,0.0,5.0,0.0,0.0
22,El Miedo,SFM1,SFM01-1-1_114.jpg,47967876,1,1.0,1.11,1.0,1.0,[1],1.0,9.0,10.0,"[1, 1, 1, 1, 1, 1, 1, 1, 2]",1.0,1.0,0.0,5.0,0.0,5.0
23,El Miedo,SFM1,SFM01-1-1_115.jpg,47967879,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
24,El Miedo,SFM1,SFM01-1-1_116.jpg,47967882,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
25,El Miedo,SFM1,SFM01-1-1_117.jpg,47967885,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
26,El Miedo,SFM1,SFM01-1-1_118.jpg,47967888,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
27,El Miedo,SFM1,SFM01-1-1_119.jpg,47967890,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
28,El Miedo,SFM1,SFM01-1-1_120.jpg,47967893,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
29,El Miedo,SFM1,SFM01-1-1_122.jpg,47967895,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
30,El Miedo,SFM1,SFM01-1-1_123.jpg,47967898,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
31,El Miedo,SFM1,SFM01-1-1_124.jpg,47967900,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
32,El Miedo,SFM1,SFM01-1-1_125.jpg,47967902,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
33,El Miedo,SFM1,SFM01-1-1_126.jpg,47967904,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
34,El Miedo,SFM1,SFM01-1-1_127.jpg,47967906,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
35,El Miedo,SFM1,SFM01-1-1_128.jpg,47967908,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
36,El Miedo,SFM1,SFM01-1-1_129.jpg,47967911,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
37,El Miedo,SFM1,SFM01-1-1_130.jpg,47967912,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
38,El Miedo,SFM1,SFM01-1-1_131.jpg,47967914,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
39,El Miedo,SFM1,SFM01-1-1_132.jpg,47967916,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
40,El Miedo,SFM1,SFM01-1-1_133.jpg,47967918,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
41,El Miedo,SFM1,SFM01-1-1_134.jpg,47967920,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
42,El Miedo,SFM1,SFM01-1-1_135.jpg,47967922,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
43,El Miedo,SFM1,SFM01-1-1_136.jpg,47967924,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
44,El Miedo,SFM1,SFM01-1-1_137.jpg,47967926,0,6.0,6.0,6.0,6.0,[6],6.0,1.0,6.0,[6],1.0,1.0,0.0,5.0,0.0,1.0
45,El Miedo,SFM1,SFM01-1-1_138.jpg,47967928,0,3.0,3.0,3.0,3.0,[3],3.0,1.0,3.0,[3],0.0,0.0,0.0,0.0,0.0,0.0
46,El Miedo,SFM1,SFM01-1-1_139.jpg,47967930,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
47,El Miedo,SFM1,SFM01-1-1_140.jpg,47967932,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
48,El Miedo,SFM1,SFM01-1-1_142.jpg,47967934,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
49,El Miedo,SFM1,SFM01-1-1_143.jpg,47967937,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
50,El Miedo,SFM1,SFM01-1-1_144.jpg,47967940,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
51,El Miedo,SFM1,SFM01-1-1_145.jpg,47967941,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
52,El Miedo,SFM1,SFM01-1-1_146.jpg,47967943,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
53,El Miedo,SFM1,SFM01-1-1_147.jpg,47967945,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,
