,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
159,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_146.jpg,72373049,Y,0,1,1,1,2,Good,Visible,
161,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_150.jpg,72373056,Y,0,1,0,0,1,Bad,Visible,
162,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_160.jpg,72373074,Y,0,0,0,1,0,Good,Visible,
163,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_172.jpg,72373086,Y,0,1,1,1,2,Good,Visible,
164,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_184.jpg,72373097,Y,0,0,2,0,2,Good,Visible,
165,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_202.jpg,72373120,Y,0,0,1,0,1,Bad,Visible,
166,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_214.jpg,72373126,Y,0,0,3,1,3,Good,Visible,
169,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_248.jpg,72373152,Y,0,0,6,1,6,Good,Visible,
171,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_260.jpg,72373161,Y,0,0,5,2,5,Good,Visible,
172,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_261.jpg,72373163,Y,0,0,2,1,2,Good,Visible,
173,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_31.jpg,72373186,Y,0,1,2,0,3,Bad,Visible,Amy and Andrea think 1 potential partial is 1 whole iguana
177,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG01_99.jpg,72373226,Y,0,0,0,1,0,Bad,Visible,
178,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-1_13.jpg,72373241,Y,0,4,13,0,17,Good,Visible,
179,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-1_19.jpg,72373250,Y,2,4,29,2,35,Good,Visible,Three iguanas only Andres sees; concenso 35 iguanas seen by Andres and Andrea
180,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-1_26.jpg,72373260,Y,0,1,3,0,4,Good,Visible,
183,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-2_20.jpg,72373289,Y,0,0,0,1,0,Good,Visible,
185,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-2_38.jpg,72373315,Y,1,0,7,2,8,Good,Visible,
186,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-2_42.jpg,72373321,Y,1,1,18,1,20,Good,Visible,
187,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-2_53.jpg,72373336,Y,1,0,12,0,13,Good,Hard,
189,A. c. venustissimus,Española,South Coast G,South Coast G,ESCG02-2_63.jpg,72373348,Y,0,1,0,0,1,Good,Visible,
190,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-1_28.jpg,72337802,Y,0,2,2,0,4,Good,Visible,
191,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-2_122.jpg,72337813,Y,0,1,0,0,1,Bad,Visible,
192,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-2_128.jpg,72337819,Y,1,0,20,2,21,Bad,Visible,
193,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-2_152.jpg,72337826,Y,0,0,2,0,2,Good,Visible,
194,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-2_180.jpg,72337834,Y,0,1,2,0,3,Bad,Hard,
195,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-2_181.jpg,72337835,Y,0,0,1,1,1,Bad,Hard,
199,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-2_370.jpg,72337871,Y,2,2,7,1,11,Bad,Visible,
200,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-3_185.jpg,72337926,Y,0,1,2,0,3,Bad,Hard,
201,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-3_293.jpg,72337933,Y,0,0,1,0,1,Bad,Hard,
202,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-3_365.jpg,72337937,Y,0,0,6,0,6,Bad,Visible,
203,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH01-3_37.jpg,72337938,Y,1,0,8,0,9,Bad,Hard,
205,A. c. venustissimus,Española,South Coast H,South Coast H,ESCH02-1_112.jpg,72337968,Y,1,5,14,1,20,Good,Visible,
